数据ID|资源名称|资源路径|资源包名称|资源名-用于加载
31|fist_attack_1.anim|Characters/Avatar/101/ani/fist_attack_1|0|0
32|fist_attack_2.anim|Characters/Avatar/101/ani/fist_attack_2|0|0
33|fist_attack_3.anim|Characters/Avatar/101/ani/fist_attack_3|0|0
34|fist_die.anim|Characters/Avatar/101/ani/fist_die|0|0
35|fist_getup.anim|Characters/Avatar/101/ani/fist_getup|0|0
36|fist_hit.anim|Characters/Avatar/101/ani/fist_hit|0|0
37|fist_hitair.anim|Characters/Avatar/101/ani/fist_hitair|0|0
38|fist_hitground.anim|Characters/Avatar/101/ani/fist_hitground|0|0
39|fist_knockdown.anim|Characters/Avatar/101/ani/fist_knockdown|0|0
40|fist_knockout.anim|Characters/Avatar/101/ani/fist_knockout|0|0
41|fist_powerattack_1.anim|Characters/Avatar/101/ani/fist_powerattack_1|0|0
42|fist_powerattack_2.anim|Characters/Avatar/101/ani/fist_powerattack_2|0|0
43|fist_powerattack_2up.anim|Characters/Avatar/101/ani/fist_powerattack_2up|0|0
44|fist_powerattack_3.anim|Characters/Avatar/101/ani/fist_powerattack_3|0|0
45|fist_powerattack_3up.anim|Characters/Avatar/101/ani/fist_powerattack_3up|0|0
46|fist_powercharge.anim|Characters/Avatar/101/ani/fist_powercharge|0|0
47|fist_powercharge_loop.anim|Characters/Avatar/101/ani/fist_powercharge_loop|0|0
48|fist_push.anim|Characters/Avatar/101/ani/fist_push|0|0
49|fist_ready.anim|Characters/Avatar/101/ani/fist_ready|0|0
50|fist_run.anim|Characters/Avatar/101/ani/fist_run|0|0
51|fist_rush.anim|Characters/Avatar/101/ani/fist_rush|0|0
52|fist_rushattack.anim|Characters/Avatar/101/ani/fist_rushattack|0|0
53|fist_skill_1.anim|Characters/Avatar/101/ani/fist_skill_1|0|0
54|fist_skill_2.anim|Characters/Avatar/101/ani/fist_skill_2|0|0
55|fist_stun.anim|Characters/Avatar/101/ani/fist_stun|0|0
56|fist_victory.anim|Characters/Avatar/101/ani/fist_victory|0|0
57|equip_warrior_0103.mat|Characters/Avatar/101/equip/Materials/equip_warrior_0103|0|0
58|equip_warrior_0103_mat.mat|Characters/Avatar/101/equip/Materials/equip_warrior_0103_mat|0|0
59|equip_warrior_0406.mat|Characters/Avatar/101/equip/Materials/equip_warrior_0406|0|0
60|equip_warrior_0406_mat.mat|Characters/Avatar/101/equip/Materials/equip_warrior_0406_mat|0|0
61|cam_victory_blade.FBX|Characters/Avatar/101/equip/cam_victory_blade|0|0
62|cam_victory_blade.prefab|Characters/Avatar/101/equip/cam_victory_blade|0|0
63|cam_victory_fist.FBX|Characters/Avatar/101/equip/cam_victory_fist|0|0
64|cam_victory_fist.prefab|Characters/Avatar/101/equip/cam_victory_fist|0|0
65|equip_warrior_01.FBX|Characters/Avatar/101/equip/equip_warrior_01|0|0
66|equip_warrior_02.FBX|Characters/Avatar/101/equip/equip_warrior_02|0|0
67|equip_warrior_03.FBX|Characters/Avatar/101/equip/equip_warrior_03|0|0
68|equip_warrior_04.FBX|Characters/Avatar/101/equip/equip_warrior_04|0|0
69|equip_warrior_05.FBX|Characters/Avatar/101/equip/equip_warrior_05|0|0
70|equip_warrior_06.FBX|Characters/Avatar/101/equip/equip_warrior_06|0|0
71|equip_warrior_blade_01.FBX|Characters/Avatar/101/equip/equip_warrior_blade_01|0|0
72|equip_warrior_blade_01_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_01_p|0|0
73|equip_warrior_blade_02.FBX|Characters/Avatar/101/equip/equip_warrior_blade_02|0|0
74|equip_warrior_blade_02_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_02_p|0|0
75|equip_warrior_blade_03.FBX|Characters/Avatar/101/equip/equip_warrior_blade_03|0|0
76|equip_warrior_blade_03_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_03_p|0|0
77|equip_warrior_blade_04.FBX|Characters/Avatar/101/equip/equip_warrior_blade_04|0|0
78|equip_warrior_blade_04_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_04_p|0|0
79|equip_warrior_blade_05.FBX|Characters/Avatar/101/equip/equip_warrior_blade_05|0|0
80|equip_warrior_blade_05_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_05_p|0|0
81|equip_warrior_blade_06.FBX|Characters/Avatar/101/equip/equip_warrior_blade_06|0|0
82|equip_warrior_blade_06_p.prefab|Characters/Avatar/101/equip/equip_warrior_blade_06_p|0|0
83|equip_warrior_fist_01.FBX|Characters/Avatar/101/equip/equip_warrior_fist_01|0|0
84|equip_warrior_fist_01_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_01_p|0|0
85|equip_warrior_fist_02.FBX|Characters/Avatar/101/equip/equip_warrior_fist_02|0|0
86|equip_warrior_fist_02_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_02_p|0|0
87|equip_warrior_fist_03.FBX|Characters/Avatar/101/equip/equip_warrior_fist_03|0|0
88|equip_warrior_fist_03_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_03_p|0|0
89|equip_warrior_fist_04.FBX|Characters/Avatar/101/equip/equip_warrior_fist_04|0|0
90|equip_warrior_fist_04_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_04_p|0|0
91|equip_warrior_fist_05.FBX|Characters/Avatar/101/equip/equip_warrior_fist_05|0|0
92|equip_warrior_fist_05_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_05_p|0|0
93|equip_warrior_fist_06.FBX|Characters/Avatar/101/equip/equip_warrior_fist_06|0|0
94|equip_warrior_fist_06_p.prefab|Characters/Avatar/101/equip/equip_warrior_fist_06_p|0|0
95|101_full.mat|Characters/Avatar/101/Materials/101_full|0|0
96|101_full_1.mat|Characters/Avatar/101/Materials/101_full_1|0|0
97|101_full_2.mat|Characters/Avatar/101/Materials/101_full_2|0|0
98|suit_101_full_1.mat|Characters/Avatar/101/suit/Materials/suit_101_full_1|0|0
99|suit_101_full_2.mat|Characters/Avatar/101/suit/Materials/suit_101_full_2|0|0
100|101_00a.FBX|Characters/Avatar/101/suit/101_00a|0|0
101|101_01a.FBX|Characters/Avatar/101/suit/101_01a|0|0
102|101_02a.FBX|Characters/Avatar/101/suit/101_02a|0|0
103|101_03a.FBX|Characters/Avatar/101/suit/101_03a|0|0
104|101.FBX|Characters/Avatar/101/101|0|0
105|101.mat|Characters/Avatar/101/101|0|0
106|101_blade.controller|Characters/Avatar/101/101_blade|0|0
107|101_creat.controller|Characters/Avatar/101/101_creat|0|0
108|101_fist.controller|Characters/Avatar/101/101_fist|0|0
109|102_idle.anim|Characters/Avatar/102/ani/102_idle|0|0
110|102_roll.anim|Characters/Avatar/102/ani/102_roll|0|0
111|102_run.anim|Characters/Avatar/102/ani/102_run|0|0
112|fan_attack_1.anim|Characters/Avatar/102/ani/fan_attack_1|0|0
113|fan_attack_2.anim|Characters/Avatar/102/ani/fan_attack_2|0|0
114|fan_attack_3.anim|Characters/Avatar/102/ani/fan_attack_3|0|0
115|fan_die.anim|Characters/Avatar/102/ani/fan_die|0|0
116|fan_getup.anim|Characters/Avatar/102/ani/fan_getup|0|0
117|fan_hit.anim|Characters/Avatar/102/ani/fan_hit|0|0
118|fan_hitair.anim|Characters/Avatar/102/ani/fan_hitair|0|0
119|fan_hitground.anim|Characters/Avatar/102/ani/fan_hitground|0|0
120|fan_knockdown.anim|Characters/Avatar/102/ani/fan_knockdown|0|0
121|fan_knockout.anim|Characters/Avatar/102/ani/fan_knockout|0|0
122|fan_powerattack_1.anim|Characters/Avatar/102/ani/fan_powerattack_1|0|0
123|fan_powerattack_2.anim|Characters/Avatar/102/ani/fan_powerattack_2|0|0
124|fan_powerattack_3.anim|Characters/Avatar/102/ani/fan_powerattack_3|0|0
125|fan_powercharge.anim|Characters/Avatar/102/ani/fan_powercharge|0|0
126|fan_powercharge_loop.anim|Characters/Avatar/102/ani/fan_powercharge_loop|0|0
127|fan_push.anim|Characters/Avatar/102/ani/fan_push|0|0
128|fan_ready.anim|Characters/Avatar/102/ani/fan_ready|0|0
129|fan_run.anim|Characters/Avatar/102/ani/fan_run|0|0
130|fan_rush.anim|Characters/Avatar/102/ani/fan_rush|0|0
131|fan_skill_1.anim|Characters/Avatar/102/ani/fan_skill_1|0|0
132|fan_skill_2.anim|Characters/Avatar/102/ani/fan_skill_2|0|0
133|fan_stun.anim|Characters/Avatar/102/ani/fan_stun|0|0
134|fan_victory.anim|Characters/Avatar/102/ani/fan_victory|0|0
135|staff_attack_1.anim|Characters/Avatar/102/ani/staff_attack_1|0|0
136|staff_attack_2.anim|Characters/Avatar/102/ani/staff_attack_2|0|0
137|staff_attack_3.anim|Characters/Avatar/102/ani/staff_attack_3|0|0
138|staff_creat_idle_1.anim|Characters/Avatar/102/ani/staff_creat_idle_1|0|0
139|staff_creat_idle_2.anim|Characters/Avatar/102/ani/staff_creat_idle_2|0|0
140|staff_die.anim|Characters/Avatar/102/ani/staff_die|0|0
141|staff_getup.anim|Characters/Avatar/102/ani/staff_getup|0|0
142|staff_hit.anim|Characters/Avatar/102/ani/staff_hit|0|0
143|staff_hitair.anim|Characters/Avatar/102/ani/staff_hitair|0|0
144|staff_hitground.anim|Characters/Avatar/102/ani/staff_hitground|0|0
145|staff_knockdown.anim|Characters/Avatar/102/ani/staff_knockdown|0|0
146|staff_knockout.anim|Characters/Avatar/102/ani/staff_knockout|0|0
147|staff_powerattack_1.anim|Characters/Avatar/102/ani/staff_powerattack_1|0|0
148|staff_powerattack_2.anim|Characters/Avatar/102/ani/staff_powerattack_2|0|0
149|staff_powerattack_3.anim|Characters/Avatar/102/ani/staff_powerattack_3|0|0
150|staff_powercharge.anim|Characters/Avatar/102/ani/staff_powercharge|0|0
151|staff_powercharge_loop.anim|Characters/Avatar/102/ani/staff_powercharge_loop|0|0
152|staff_push.anim|Characters/Avatar/102/ani/staff_push|0|0
153|staff_ready.anim|Characters/Avatar/102/ani/staff_ready|0|0
154|staff_run.anim|Characters/Avatar/102/ani/staff_run|0|0
155|staff_rush.anim|Characters/Avatar/102/ani/staff_rush|0|0
156|staff_skill_1.anim|Characters/Avatar/102/ani/staff_skill_1|0|0
157|staff_skill_2.anim|Characters/Avatar/102/ani/staff_skill_2|0|0
158|staff_stun.anim|Characters/Avatar/102/ani/staff_stun|0|0
159|staff_victory.anim|Characters/Avatar/102/ani/staff_victory|0|0
160|equip_mage_0103.mat|Characters/Avatar/102/equip/Materials/equip_mage_0103|0|0
161|equip_mage_0103_mat.mat|Characters/Avatar/102/equip/Materials/equip_mage_0103_mat|0|0
162|equip_mage_0406.mat|Characters/Avatar/102/equip/Materials/equip_mage_0406|0|0
163|equip_mage_0406_mat.mat|Characters/Avatar/102/equip/Materials/equip_mage_0406_mat|0|0
164|cam_victory_fan.FBX|Characters/Avatar/102/equip/cam_victory_fan|0|0
165|cam_victory_fan.prefab|Characters/Avatar/102/equip/cam_victory_fan|0|0
166|cam_victory_staff.FBX|Characters/Avatar/102/equip/cam_victory_staff|0|0
167|cam_victory_staff.prefab|Characters/Avatar/102/equip/cam_victory_staff|0|0
168|equip_mage_01.FBX|Characters/Avatar/102/equip/equip_mage_01|0|0
169|equip_mage_02.FBX|Characters/Avatar/102/equip/equip_mage_02|0|0
170|equip_mage_03.FBX|Characters/Avatar/102/equip/equip_mage_03|0|0
171|equip_mage_04.FBX|Characters/Avatar/102/equip/equip_mage_04|0|0
172|equip_mage_05.FBX|Characters/Avatar/102/equip/equip_mage_05|0|0
173|equip_mage_06.FBX|Characters/Avatar/102/equip/equip_mage_06|0|0
174|equip_mage_fan_01.FBX|Characters/Avatar/102/equip/equip_mage_fan_01|0|0
175|equip_mage_fan_01_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_01_p|0|0
176|equip_mage_fan_02.FBX|Characters/Avatar/102/equip/equip_mage_fan_02|0|0
177|equip_mage_fan_02_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_02_p|0|0
178|equip_mage_fan_03.FBX|Characters/Avatar/102/equip/equip_mage_fan_03|0|0
179|equip_mage_fan_03_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_03_p|0|0
180|equip_mage_fan_04.FBX|Characters/Avatar/102/equip/equip_mage_fan_04|0|0
181|equip_mage_fan_04_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_04_p|0|0
182|equip_mage_fan_05.FBX|Characters/Avatar/102/equip/equip_mage_fan_05|0|0
183|equip_mage_fan_05_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_05_p|0|0
184|equip_mage_fan_06.FBX|Characters/Avatar/102/equip/equip_mage_fan_06|0|0
185|equip_mage_fan_06_p.prefab|Characters/Avatar/102/equip/equip_mage_fan_06_p|0|0
186|equip_mage_staff_01.FBX|Characters/Avatar/102/equip/equip_mage_staff_01|0|0
187|equip_mage_staff_01_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_01_p|0|0
188|equip_mage_staff_02.FBX|Characters/Avatar/102/equip/equip_mage_staff_02|0|0
189|equip_mage_staff_02_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_02_p|0|0
190|equip_mage_staff_03.FBX|Characters/Avatar/102/equip/equip_mage_staff_03|0|0
191|equip_mage_staff_03_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_03_p|0|0
192|equip_mage_staff_04.FBX|Characters/Avatar/102/equip/equip_mage_staff_04|0|0
193|equip_mage_staff_04_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_04_p|0|0
194|equip_mage_staff_05.FBX|Characters/Avatar/102/equip/equip_mage_staff_05|0|0
195|equip_mage_staff_05_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_05_p|0|0
196|equip_mage_staff_06.FBX|Characters/Avatar/102/equip/equip_mage_staff_06|0|0
197|equip_mage_staff_06_p.prefab|Characters/Avatar/102/equip/equip_mage_staff_06_p|0|0
198|102_a.mat|Characters/Avatar/102/Materials/102_a|0|0
199|102_full.mat|Characters/Avatar/102/Materials/102_full|0|0
200|102_suit.mat|Characters/Avatar/102/Materials/102_suit|0|0
201|102_suit_1.mat|Characters/Avatar/102/Materials/102_suit_1|0|0
202|102_sult.mat|Characters/Avatar/102/Materials/102_sult|0|0
203|102_fulla.mat|Characters/Avatar/102/suit/Materials/102_fulla|0|0
204|102_suita.mat|Characters/Avatar/102/suit/Materials/102_suita|0|0
205|102_00a.FBX|Characters/Avatar/102/suit/102_00a|0|0
206|102_01a.FBX|Characters/Avatar/102/suit/102_01a|0|0
207|102_02a.FBX|Characters/Avatar/102/suit/102_02a|0|0
208|102_03a.FBX|Characters/Avatar/102/suit/102_03a|0|0
209|102.FBX|Characters/Avatar/102/102|0|0
210|102_creat.controller|Characters/Avatar/102/102_creat|0|0
211|102_fan.controller|Characters/Avatar/102/102_fan|0|0
212|102_staff.controller|Characters/Avatar/102/102_staff|0|0
213|103_idle.anim|Characters/Avatar/103/ani/103_idle|0|0
214|103_roll.anim|Characters/Avatar/103/ani/103_roll|0|0
215|103_run.anim|Characters/Avatar/103/ani/103_run|0|0
216|bow_attack_1.anim|Characters/Avatar/103/ani/bow_attack_1|0|0
217|bow_attack_2.anim|Characters/Avatar/103/ani/bow_attack_2|0|0
218|bow_attack_3.anim|Characters/Avatar/103/ani/bow_attack_3|0|0
219|bow_creat_idle_1.anim|Characters/Avatar/103/ani/bow_creat_idle_1|0|0
220|bow_creat_idle_2.anim|Characters/Avatar/103/ani/bow_creat_idle_2|0|0
221|bow_die.anim|Characters/Avatar/103/ani/bow_die|0|0
222|bow_getup.anim|Characters/Avatar/103/ani/bow_getup|0|0
223|bow_hit.anim|Characters/Avatar/103/ani/bow_hit|0|0
224|bow_hitair.anim|Characters/Avatar/103/ani/bow_hitair|0|0
225|bow_hitground.anim|Characters/Avatar/103/ani/bow_hitground|0|0
226|bow_knockdown.anim|Characters/Avatar/103/ani/bow_knockdown|0|0
227|bow_knockout.anim|Characters/Avatar/103/ani/bow_knockout|0|0
228|bow_powerattack_1.anim|Characters/Avatar/103/ani/bow_powerattack_1|0|0
229|bow_powerattack_2.anim|Characters/Avatar/103/ani/bow_powerattack_2|0|0
230|bow_powerattack_3.anim|Characters/Avatar/103/ani/bow_powerattack_3|0|0
231|bow_powercharge.anim|Characters/Avatar/103/ani/bow_powercharge|0|0
232|bow_powercharge_loop.anim|Characters/Avatar/103/ani/bow_powercharge_loop|0|0
233|bow_push.anim|Characters/Avatar/103/ani/bow_push|0|0
234|bow_ready.anim|Characters/Avatar/103/ani/bow_ready|0|0
235|bow_run.anim|Characters/Avatar/103/ani/bow_run|0|0
236|bow_rush.anim|Characters/Avatar/103/ani/bow_rush|0|0
237|bow_skill_1.anim|Characters/Avatar/103/ani/bow_skill_1|0|0
238|bow_skill_2.anim|Characters/Avatar/103/ani/bow_skill_2|0|0
239|bow_stun.anim|Characters/Avatar/103/ani/bow_stun|0|0
240|bow_victory.anim|Characters/Avatar/103/ani/bow_victory|0|0
241|gun_attack_1.anim|Characters/Avatar/103/ani/gun_attack_1|0|0
242|gun_attack_2.anim|Characters/Avatar/103/ani/gun_attack_2|0|0
243|gun_attack_3.anim|Characters/Avatar/103/ani/gun_attack_3|0|0
244|gun_die.anim|Characters/Avatar/103/ani/gun_die|0|0
245|gun_getup.anim|Characters/Avatar/103/ani/gun_getup|0|0
246|gun_hit.anim|Characters/Avatar/103/ani/gun_hit|0|0
247|gun_hitair.anim|Characters/Avatar/103/ani/gun_hitair|0|0
248|gun_hitground.anim|Characters/Avatar/103/ani/gun_hitground|0|0
249|gun_knockdown.anim|Characters/Avatar/103/ani/gun_knockdown|0|0
250|gun_knockout.anim|Characters/Avatar/103/ani/gun_knockout|0|0
251|gun_powerattack_1.anim|Characters/Avatar/103/ani/gun_powerattack_1|0|0
252|gun_powerattack_2.anim|Characters/Avatar/103/ani/gun_powerattack_2|0|0
253|gun_powerattack_3.anim|Characters/Avatar/103/ani/gun_powerattack_3|0|0
254|gun_powercharge.anim|Characters/Avatar/103/ani/gun_powercharge|0|0
255|gun_powercharge_loop.anim|Characters/Avatar/103/ani/gun_powercharge_loop|0|0
256|gun_push.anim|Characters/Avatar/103/ani/gun_push|0|0
257|gun_ready.anim|Characters/Avatar/103/ani/gun_ready|0|0
258|gun_run.anim|Characters/Avatar/103/ani/gun_run|0|0
259|gun_rush.anim|Characters/Avatar/103/ani/gun_rush|0|0
260|gun_skill_1.anim|Characters/Avatar/103/ani/gun_skill_1|0|0
261|gun_skill_2.anim|Characters/Avatar/103/ani/gun_skill_2|0|0
262|gun_stun.anim|Characters/Avatar/103/ani/gun_stun|0|0
263|gun_victory.anim|Characters/Avatar/103/ani/gun_victory|0|0
264|bow_test.mat|Characters/Avatar/103/equip/Materials/bow_test|0|0
265|equip_archer_0103.mat|Characters/Avatar/103/equip/Materials/equip_archer_0103|0|0
266|equip_archer_0103_mat.mat|Characters/Avatar/103/equip/Materials/equip_archer_0103_mat|0|0
267|equip_archer_0406.mat|Characters/Avatar/103/equip/Materials/equip_archer_0406|0|0
268|equip_archer_0406_mat.mat|Characters/Avatar/103/equip/Materials/equip_archer_0406_mat|0|0
269|bow_test.controller|Characters/Avatar/103/equip/bow_test|0|0
270|bow_test.fbx|Characters/Avatar/103/equip/bow_test|0|0
271|cam_victory_bow.FBX|Characters/Avatar/103/equip/cam_victory_bow|0|0
272|cam_victory_bow.prefab|Characters/Avatar/103/equip/cam_victory_bow|0|0
273|cam_victory_gun.FBX|Characters/Avatar/103/equip/cam_victory_gun|0|0
274|cam_victory_gun.prefab|Characters/Avatar/103/equip/cam_victory_gun|0|0
275|equip_archer_01.FBX|Characters/Avatar/103/equip/equip_archer_01|0|0
276|equip_archer_02.FBX|Characters/Avatar/103/equip/equip_archer_02|0|0
277|equip_archer_03.FBX|Characters/Avatar/103/equip/equip_archer_03|0|0
278|equip_archer_04.FBX|Characters/Avatar/103/equip/equip_archer_04|0|0
279|equip_archer_05.FBX|Characters/Avatar/103/equip/equip_archer_05|0|0
280|equip_archer_06.FBX|Characters/Avatar/103/equip/equip_archer_06|0|0
281|equip_archer_bow_01.FBX|Characters/Avatar/103/equip/equip_archer_bow_01|0|0
282|equip_archer_bow_01_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_01_p|0|0
283|equip_archer_bow_02.FBX|Characters/Avatar/103/equip/equip_archer_bow_02|0|0
284|equip_archer_bow_02_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_02_p|0|0
285|equip_archer_bow_03.FBX|Characters/Avatar/103/equip/equip_archer_bow_03|0|0
286|equip_archer_bow_03_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_03_p|0|0
287|equip_archer_bow_04.FBX|Characters/Avatar/103/equip/equip_archer_bow_04|0|0
288|equip_archer_bow_04_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_04_p|0|0
289|equip_archer_bow_05.FBX|Characters/Avatar/103/equip/equip_archer_bow_05|0|0
290|equip_archer_bow_05_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_05_p|0|0
291|equip_archer_bow_06.FBX|Characters/Avatar/103/equip/equip_archer_bow_06|0|0
292|equip_archer_bow_06_p.prefab|Characters/Avatar/103/equip/equip_archer_bow_06_p|0|0
293|equip_archer_gun_01.FBX|Characters/Avatar/103/equip/equip_archer_gun_01|0|0
294|equip_archer_gun_01_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_01_p|0|0
295|equip_archer_gun_02.FBX|Characters/Avatar/103/equip/equip_archer_gun_02|0|0
296|equip_archer_gun_02_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_02_p|0|0
297|equip_archer_gun_03.FBX|Characters/Avatar/103/equip/equip_archer_gun_03|0|0
298|equip_archer_gun_03_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_03_p|0|0
299|equip_archer_gun_04.FBX|Characters/Avatar/103/equip/equip_archer_gun_04|0|0
300|equip_archer_gun_04_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_04_p|0|0
301|equip_archer_gun_05.FBX|Characters/Avatar/103/equip/equip_archer_gun_05|0|0
302|equip_archer_gun_05_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_05_p|0|0
303|equip_archer_gun_06.FBX|Characters/Avatar/103/equip/equip_archer_gun_06|0|0
304|equip_archer_gun_06_p.prefab|Characters/Avatar/103/equip/equip_archer_gun_06_p|0|0
305|103.mat|Characters/Avatar/103/Materials/103|0|0
306|103a.mat|Characters/Avatar/103/Materials/103a|0|0
307|103b.mat|Characters/Avatar/103/Materials/103b|0|0
308|suit_1.mat|Characters/Avatar/103/Materials/suit_1|0|0
309|suit_103b.mat|Characters/Avatar/103/suit/Materials/suit_103b|0|0
310|suit_2.mat|Characters/Avatar/103/suit/Materials/suit_2|0|0
311|suit_suit_1.mat|Characters/Avatar/103/suit/Materials/suit_suit_1|0|0
312|103b_00.FBX|Characters/Avatar/103/suit/103b_00|0|0
313|103b_01.FBX|Characters/Avatar/103/suit/103b_01|0|0
314|103b_02.FBX|Characters/Avatar/103/suit/103b_02|0|0
315|103b_03.FBX|Characters/Avatar/103/suit/103b_03|0|0
316|103.FBX|Characters/Avatar/103/103|0|0
317|103_bow.controller|Characters/Avatar/103/103_bow|0|0
318|103_creat.controller|Characters/Avatar/103/103_creat|0|0
319|103_gun.controller|Characters/Avatar/103/103_gun|0|0
320|104_idle.anim|Characters/Avatar/104/ani/104_idle|0|0
321|104_roll.anim|Characters/Avatar/104/ani/104_roll|0|0
322|104_run.anim|Characters/Avatar/104/ani/104_run|0|0
323|dagger_attack_1.anim|Characters/Avatar/104/ani/dagger_attack_1|0|0
324|dagger_attack_2.anim|Characters/Avatar/104/ani/dagger_attack_2|0|0
325|dagger_attack_3.anim|Characters/Avatar/104/ani/dagger_attack_3|0|0
326|dagger_creat_idle_1.anim|Characters/Avatar/104/ani/dagger_creat_idle_1|0|0
327|dagger_creat_idle_2.anim|Characters/Avatar/104/ani/dagger_creat_idle_2|0|0
328|dagger_getup.anim|Characters/Avatar/104/ani/dagger_getup|0|0
329|dagger_hit.anim|Characters/Avatar/104/ani/dagger_hit|0|0
330|dagger_powerattack_1.anim|Characters/Avatar/104/ani/dagger_powerattack_1|0|0
331|dagger_powerattack_2.anim|Characters/Avatar/104/ani/dagger_powerattack_2|0|0
332|dagger_powerattack_3.anim|Characters/Avatar/104/ani/dagger_powerattack_3|0|0
333|dagger_powercharge.anim|Characters/Avatar/104/ani/dagger_powercharge|0|0
334|dagger_powercharge_loop.anim|Characters/Avatar/104/ani/dagger_powercharge_loop|0|0
335|dagger_push.anim|Characters/Avatar/104/ani/dagger_push|0|0
336|dagger_ready.anim|Characters/Avatar/104/ani/dagger_ready|0|0
337|dagger_run.anim|Characters/Avatar/104/ani/dagger_run|0|0
338|dagger_rush.anim|Characters/Avatar/104/ani/dagger_rush|0|0
339|dagger_skill_1.anim|Characters/Avatar/104/ani/dagger_skill_1|0|0
340|dagger_skill_2.anim|Characters/Avatar/104/ani/dagger_skill_2|0|0
341|dagger_stun.anim|Characters/Avatar/104/ani/dagger_stun|0|0
342|dagger_victory.anim|Characters/Avatar/104/ani/dagger_victory|0|0
343|twinblade_attack_1.anim|Characters/Avatar/104/ani/twinblade_attack_1|0|0
344|twinblade_attack_2.anim|Characters/Avatar/104/ani/twinblade_attack_2|0|0
